begintrip_at,begintrip_lat,begintrip_lng,dropoff_lat,dropoff_lng,uid

2015-02-14_00:51:48,36.17,-86.7431,36.162,-86.7018,160
2015-02-07_01:52:35,36.1739,-86.675,36.1641,-86.6706,7ac
2015-02-06_03:19:48,36.1633,-86.7742,36.1577,-86.7581,22e
2015-02-22_03:35:01,36.1678,-86.702,36.1789,-86.6744,688
2015-02-01_19:45:18,36.1652,-86.7006,36.1553,-86.7104,e0a
2015-02-01_02:44:34,36.1674,-86.7864,36.1538,-86.7174,33e
2015-02-21_03:54:32,36.1607,-86.7569,36.1659,-86.7548,326
2015-02-26_13:48:10,36.1797,-86.6855,36.1684,-86.7577,2bc
2015-02-06_17:20:07,36.1685,-86.7578,36.1932,-86.7013,09e
2015-02-09_15:27:36,36.1777,-86.6866,36.1669,-86.6886,ade
2015-02-16_14:38:18,36.1687,-86.7175,36.1672,-86.7032,aea
2015-02-08_05:04:50,36.1712,-86.68,36.175,-86.7361,e08
2015-02-20_17:47:31,36.1665,-86.6866,36.1665,-86.6867,9d4
2015-02-14_05:44:08,36.1559,-86.7256,36.1618,-86.737,6d0
2015-02-14_02:46:04,36.1674,-86.7029,36.1655,-86.6971,440
2015-02-14_06:18:40,36.1573,-86.7582,36.163,-86.7744,b4c
2015-02-01_05:38:31,36.1773,-86.731,36.1769,-86.7048,0e6
2015-02-14_01:01:07,36.1702,-86.7414,36.1685,-86.752,452
2015-02-17_02:31:48,36.1745,-86.6961,36.1667,-86.7122,29c
2015-02-25_05:45:37,36.1706,-86.7071,36.1664,-86.6979,088
2015-02-06_06:57:19,36.1747,-86.7365,36.1624,-86.7375,9b6
2015-02-12_23:58:26,36.1769,-86.6778,36.1664,-86.7348,f38
2015-02-14_17:56:58,36.1552,-86.6631,36.1702,-86.6866,966
2015-02-06_22:31:46,36.1674,-86.705,36.1561,-86.7302,29c
2015-02-21_23:52:42,36.1675,-86.6858,36.1623,-86.7008,752
2015-02-20_17:48:23,36.1847,-86.6779,36.167,-86.7524,4e0
2015-02-01_21:30:52,36.1818,-86.6721,36.1723,-86.6867,f1a
2015-02-13_22:46:25,36.1676,-86.6833,36.1678,-86.7518,1e0
2015-02-17_05:05:27,36.1559,-86.7337,36.1881,-86.6991,2c0
2015-02-23_03:03:33,36.1647,-86.7367,36.1558,-86.734,cb6
2015-02-15_20:26:55,36.1583,-86.6646,36.1699,-86.7427,a56
2015-02-06_19:34:48,36.1676,-86.6836,36.17,-86.743,c2a
2015-02-13_14:38:44,36.1489,-86.6432,36.1569,-86.6624,dc6
2015-02-21_04:51:46,36.1577,-86.7581,36.1573,-86.7581,630
2015-02-23_16:17:06,36.1683,-86.7012,36.1689,-86.7088,0ca
2015-02-14_05:24:09,36.1556,-86.7217,36.1792,-86.7312,b5e
2015-02-04_00:16:39,36.1696,-86.7446,36.1548,-86.7304,b58
2015-02-27_07:02:28,36.1724,-86.6917,36.168,-86.6827,97a
2015-02-15_03:40:15,36.1758,-86.6983,36.1696,-86.7485,75a
2015-02-22_04:51:23,36.1543,-86.7277,36.1636,-86.7422,f26
2015-02-07_07:08:33,36.1559,-86.7318,36.163,-86.7,5e2
2015-02-19_20:06:25,36.1798,-86.6678,36.1736,-86.7536,288
2015-02-25_15:39:57,36.1731,-86.6945,36.1798,-86.6843,8a4
2015-02-14_01:01:33,36.1669,-86.7465,36.1677,-86.6834,45a
2015-02-19_05:11:18,36.1724,-86.7735,36.1692,-86.7446,3c6
2015-02-04_20:01:01,36.1684,-86.7575,36.163,-86.7353,02c
2015-02-08_03:44:36,36.1674,-86.7142,36.1562,-86.7285,a0c
2015-02-14_04:45:16,36.1762,-86.6774,36.1804,-86.674,244
2015-02-26_06:46:32,36.1681,-86.7019,36.1639,-86.7497,43e
2015-02-14_03:05:08,36.1657,-86.7487,36.1559,-86.7311,b28
2015-02-15_19:38:46,36.1662,-86.7349,36.1795,-86.6906,4ee
2015-02-12_15:07:32,36.1779,-86.6738,36.17,-86.6888,d64
2015-02-27_00:46:45,36.1687,-86.6994,36.1723,-86.7734,c44
2015-02-24_23:22:46,36.1729,-86.7534,36.1797,-86.6677,288
2015-02-01_08:05:57,36.1731,-86.6806,36.1679,-86.6831,f16
2015-02-12_18:01:15,36.1701,-86.6867,36.1803,-86.6828,106
2015-02-14_23:20:50,36.1803,-86.6715,36.1563,-86.7189,61e
